city,country,eiu_region,year,value,rank
Toronto,Canada,North America,2021,62,105
Luxembourg,Luxembourg,Western Europe,2021,71,66
Rotterdam,Netherlands,Western Europe,2021,67,88
Busan,South Korea,Asia & Australasia,2021,68,81
San José,Costa Rica,Latin America & the Caribbean,2021,57,120
Bahrain,Bahrain,Middle East & Africa,2021,59,114
Quito,Ecuador,Latin America & the Caribbean,2021,59,114
Dongguan,China,Asia & Australasia,2021,62,105
Nairobi,Kenya,Middle East & Africa,2021,63,101
Baku,Azerbaijan,Western Europe,2021,54,134
Prague,Czech Rep,Eastern Europe,2021,62,105
Doha,Qatar,Middle East & Africa,2021,56,125
Jakarta,Indonesia,Asia & Australasia,2021,58,118
Santiago,Chile,Latin America & the Caribbean,2021,61,109
Bratislava,Slovakia,Eastern Europe,2021,63,101
Jeddah,Saudi Arabia,Middle East & Africa,2021,56,125
Athens,Greece,Western Europe,2021,61,109
Aguascalientes,Mexico,Latin America & the Caribbean,2021,53,140
Chongqing,China,Asia & Australasia,2021,59,114
Lisbon,Portugal,Western Europe,2021,62,105
Riyadh,Saudi Arabia,Middle East & Africa,2021,54,134
Bandar Seri Begawan,Brunei,Asia & Australasia,2021,56,125
Kuala Lumpur,Malaysia,Asia & Australasia,2021,57,120
